127.0.0.1 - - [27/Jul/2012:10:22:42 +0530] "GET / HTTP/1.1" 404 953
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:46:51 +0530] "GET /Day03/lab08.html HTTP/1.1" 200 4325
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:46:53 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:47:28 +0530] "GET /Day03/lab08.html HTTP/1.1" 200 4353
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:47:31 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:48:11 +0530] "GET /Day03/lab08.html HTTP/1.1" 200 4362
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:48:11 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:48:13 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:48:13 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:49:52 +0530] "GET /Day03/lab08.html HTTP/1.1" 200 4132
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:49:52 +0530] "GET /Day03/jquery.mobile-1.1.1.css HTTP/1.1" 200 102759
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:49:53 +0530] "GET /Day03/jquery-1.7.2.js HTTP/1.1" 200 262283
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:49:53 +0530] "GET /Day03/jquery.mobile-1.1.1.js HTTP/1.1" 200 244345
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:49:53 +0530] "GET /Day03/images/ajax-loader.gif HTTP/1.1" 200 7825
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:49:53 +0530] "GET /Day03/images/icons-18-white.png HTTP/1.1" 200 1806
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:49:53 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:50:04 +0530] "GET /Day03/login.jsp?username=admin&password=admin HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:50:04 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:50:06 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:50:15 +0530] "GET /Day03/lab08.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:50:16 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:51:40 +0530] "GET /Day03/lab08.html HTTP/1.1" 200 4332
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:51:41 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:51:42 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:51:42 +0530] "GET /favicon.ico HTTP/1.1" 404 986
